Unnamed: 0,customer_id,gender,location,partner,dependents,senior,Tenure,monthly_cost,package,survey,Class
55,I1138,Male,West Midlands,1,1,0,15.0,,4,6.0,Churn=No
56,K7935,Female,Greater London,1,1,1,7.0,,2,8.0,Churn=No
57,E7596,Male,West Yorkshire,0,0,0,3.0,,1,3.0,Churn=Yes
58,H6002,Male,Greater London,1,1,0,8.0,,4,6.0,Churn=No
59,K5904,Male,Greater London,1,1,0,15.0,,4,6.0,Churn=No
60,G3020,Male,Greater London,1,1,0,1.0,,3,8.0,Churn=Yes
61,I4457,Female,Devon,1,1,0,1.0,,2,8.0,Churn=No
62,A3720,Female,Hertfordshire,0,0,1,0.0,,2,4.696087084436599,Churn=Yes
63,A5630,Female,Greater London,1,1,0,17.0,,4,6.0,Churn=No
64,I1705,Female,West Midlands,0,0,1,16.0,,1,2.0,Churn=Yes
65,F8198,Female,Greater London,1,1,0,8.0,,3,6.0,Churn=No
66,E9871,Male,West Midlands,0,1,0,5.0,,1,5.0,Churn=No
67,H7939,Female,Greater Manchester,1,1,0,4.0,,1,6.0,Churn=No
68,F6660,Male,Greater London,1,1,0,16.0,,3,5.0,Churn=No
69,B4118,Female,Greater London,0,0,0,0.0,,1,4.696087084436599,Churn=Yes
70,G6787,Female,Kent,1,1,0,21.0,,1,7.0,Churn=No
71,E1618,Male,Hampshire,1,0,1,3.0,,2,4.0,Churn=No
72,K2618,Male,Hampshire,0,1,0,15.0,,1,4.0,Churn=No
73,H6575,Female,Greater Manchester,1,0,1,11.0,,2,2.0,Churn=No
74,C9987,Female,Hampshire,0,0,0,1.0,,1,2.0,Churn=Yes
75,G1091,Male,West Midlands,0,0,0,1.0,,1,5.0,Churn=Yes
76,J4004,Female,Greater London,1,1,0,15.0,,4,1.0,Churn=No
77,I9231,Female,Surrey,1,1,1,6.0,,2,7.0,Churn=Yes
78,D3783,Male,Devon,1,1,0,7.0,,1,2.0,Churn=No
79,I8700,Male,West Yorkshire,0,0,0,0.0,,2,0.0,Churn=Yes
80,B2370,Female,Essex,1,1,0,1.0,,4,5.0,Churn=No
81,I9553,Female,Hertfordshire,0,0,0,2.0,,2,1.0,Churn=Yes
82,H5647,Female,Lancashire,0,0,1,10.0,,2,1.0,Churn=Yes
83,G4110,Male,West Yorkshire,1,1,0,7.0,,3,5.0,Churn=No
84,K3021,Male,Surrey,1,1,0,22.0,,4,7.0,Churn=No
85,H2599,Male,West Midlands,1,1,0,19.0,,4,7.0,Churn=No
86,H8520,Female,Hertfordshire,1,1,1,22.0,,2,7.0,Churn=No
87,D5872,Female,Greater London,0,0,0,0.0,,4,1.0,Churn=Yes
88,D4857,Female,Greater Manchester,0,1,0,20.0,,1,9.0,Churn=No
89,B1122,Female,Greater London,1,0,0,0.0,,4,1.0,Churn=Yes
90,J2912,Female,South Yorkshire,0,1,0,0.0,,1,9.0,Churn=Yes
91,G5708,Female,Devon,1,1,0,24.0,,2,7.0,Churn=No
92,E1875,Male,Greater London,1,0,1,2.0,,4,3.0,Churn=Yes
93,B2959,Male,West Midlands,1,1,0,7.0,,3,5.0,Churn=No
94,J3228,Male,Greater London,1,1,0,8.0,,3,7.0,Churn=No
95,E2407,Male,Greater Manchester,0,1,0,18.0,,2,5.0,Churn=Yes
96,H1936,Female,West Yorkshire,1,0,0,1.0,,3,1.0,Churn=No
97,K7345,Male,Greater London,1,1,0,10.0,,3,2.0,Churn=No
98,A6195,Male,Greater Manchester,0,0,0,0.0,,2,3.0,Churn=Yes
99,G4934,Female,West Yorkshire,1,0,0,1.0,,3,1.0,Churn=Yes
100,E2204,Male,Greater London,0,0,0,2.0,,1,4.0,Churn=Yes
101,E8254,Female,Greater London,1,1,0,7.0,,4,6.0,Churn=No
102,B3722,Male,Greater London,1,1,0,12.0,,4,2.0,Churn=Yes
103,A5348,Male,Merseyside,1,1,0,16.0,,4,7.0,Churn=No
104,E7804,Female,Greater London,0,0,0,0.0,,1,1.0,Churn=Yes
105,G2846,Female,Surrey,0,1,0,20.0,,2,4.0,Churn=Yes
106,K4057,Female,West Yorkshire,0,0,0,0.0,,1,1.0,Churn=Yes
107,E2427,Female,Merseyside,1,1,0,13.0,,3,8.0,Churn=No
108,A1130,Male,Lancashire,1,1,0,7.0,,4,7.0,Churn=No
109,H6362,Male,Lancashire,0,1,0,12.0,,3,6.0,Churn=No
110,J9570,Female,Hampshire,1,1,0,9.0,,1,4.0,Churn=No
111,H5083,Male,Greater Manchester,0,0,1,7.0,,4,4.0,Churn=Yes
112,A1453,Female,Greater London,0,1,0,13.0,,2,6.0,Churn=No
113,D6841,Male,Merseyside,0,0,0,1.0,,2,4.696087084436599,Churn=Yes
114,D1655,Female,South Yorkshire,0,1,1,6.0,,4,7.0,Churn=No
115,I3844,Male,West Yorkshire,0,1,0,9.0,,1,7.0,Churn=No
116,F4746,Male,Greater London,0,1,1,14.0,,2,4.0,Churn=Yes
117,J9648,Female,West Yorkshire,1,1,0,8.0,,4,3.0,Churn=Yes
118,F6058,Female,West Midlands,0,1,0,3.0,,1,6.0,Churn=No
119,H6961,Female,Hampshire,0,1,0,15.0,,1,10.0,Churn=No
120,F3266,Male,Greater London,0,0,0,7.0,,1,1.0,Churn=No
121,J3410,Male,Hampshire,0,1,1,11.0,,2,4.696087084436599,Churn=No
122,D9458,Female,West Midlands,0,0,0,6.0,,1,1.0,Churn=Yes
123,C2127,Female,Greater London,0,0,0,1.0,,4,3.0,Churn=Yes
124,I3755,Female,South Yorkshire,1,1,0,19.0,,4,4.696087084436599,Churn=No
125,E4089,Male,Lancashire,1,1,1,2.0,,2,6.0,Churn=Yes
126,K6526,Male,Greater London,0,0,0,0.0,,1,2.0,Churn=Yes
127,G6829,Female,West Midlands,1,1,0,19.0,,4,8.0,Churn=No
128,F1942,Male,Lancashire,0,1,0,7.0,,2,9.0,Churn=No
129,K1827,Male,West Midlands,1,1,0,7.0,,1,2.0,Churn=No
130,I5602,Male,Hampshire,1,0,1,8.0,,2,2.0,Churn=Yes
131,G4622,Male,Greater London,1,1,1,11.0,,2,5.0,Churn=Yes
132,F5049,Female,Greater London,1,1,0,1.0,,4,4.0,Churn=Yes
133,I5016,Female,West Midlands,1,1,0,8.0,,3,3.0,Churn=No
134,A6186,Male,West Midlands,1,1,0,0.0,,4,6.0,Churn=No
135,B4514,Female,Greater London,1,1,0,14.0,,4,8.0,Churn=No
136,K2191,Female,North Yorkshire,1,1,0,14.0,,4,8.0,Churn=No
137,D2361,Male,Greater London,0,1,0,16.0,,3,7.0,Churn=No
138,I1039,Male,Greater London,1,1,0,10.0,,4,6.0,Churn=No
139,K2319,Male,Merseyside,0,1,0,7.0,,1,6.0,Churn=No
140,F5578,Male,North Yorkshire,0,1,0,7.0,,1,3.0,Churn=Yes
141,E8189,Female,Surrey,1,1,0,5.0,,4,2.0,Churn=No
142,E8111,Female,West Yorkshire,0,0,1,2.0,,2,6.0,Churn=No
143,E1907,Female,Hertfordshire,0,0,0,0.0,,1,3.0,Churn=Yes
144,I3760,Female,North Yorkshire,0,1,0,10.0,,2,7.0,Churn=No
145,C3134,Male,Greater London,1,0,0,0.0,,4,3.0,Churn=No
146,C4840,Male,Greater London,0,0,1,14.0,,2,2.0,Churn=No
147,F9731,Male,Greater London,0,1,0,17.0,,1,8.0,Churn=No
148,G7449,Male,South Yorkshire,0,1,0,15.0,,1,4.696087084436599,Churn=No
149,H7375,Male,Kent,1,1,0,6.0,,4,6.0,Churn=No
150,D5080,Female,Hampshire,1,1,0,12.0,,4,6.0,Churn=No
151,B3040,Female,West Midlands,1,1,0,15.0,,1,6.0,Churn=No
152,C6935,Female,Greater Manchester,0,1,1,7.0,,1,7.0,Churn=No
153,G4970,Male,Greater London,0,1,0,13.0,,2,8.0,Churn=No
154,G5802,Male,Greater Manchester,1,1,0,14.0,,4,4.0,Churn=No
155,E7436,Female,Essex,1,1,0,14.0,,3,4.0,Churn=No
156,G2009,Female,Greater London,0,0,0,1.0,,3,4.0,Churn=Yes
157,D5656,Male,Greater London,0,1,0,17.0,,2,7.0,Churn=No
158,F9815,Male,Devon,1,1,0,8.0,,2,6.0,Churn=No
159,K5416,Female,Essex,1,1,0,20.0,,2,6.0,Churn=No
160,E2649,Female,Greater Manchester,1,1,1,12.0,,2,8.0,Churn=No
161,F5826,Male,Merseyside,0,1,0,15.0,,1,4.0,Churn=No
162,J5649,Male,Greater London,0,1,0,21.0,,2,6.0,Churn=No
163,I7827,Male,Greater London,1,1,0,0.0,,1,4.696087084436599,Churn=No
164,J3006,Male,West Midlands,1,1,0,0.0,,3,8.0,Churn=No
165,F7673,Female,Greater London,0,0,0,6.0,,1,1.0,Churn=Yes
166,H9476,Male,Greater London,1,1,0,12.0,,1,6.0,Churn=No
167,G5568,Female,Greater London,1,1,0,15.0,,4,4.696087084436599,Churn=No
168,F8717,Female,Greater London,1,1,0,17.0,,1,4.696087084436599,Churn=No
169,K3646,Female,West Midlands,1,1,0,8.0,,4,5.0,Churn=No
170,D6916,Female,North Yorkshire,1,1,0,7.0,,4,5.0,Churn=No
171,C3150,Male,Greater Manchester,1,1,0,3.0,,4,3.0,Churn=Yes
172,E3287,Female,Greater Manchester,1,1,0,14.0,,4,7.0,Churn=No
173,J5293,Female,Greater London,0,1,0,4.0,,1,7.0,Churn=No
174,A2064,Female,Greater London,0,1,0,14.0,,1,2.0,Churn=No
175,B2375,Male,Greater London,0,1,0,15.0,,2,2.0,Churn=Yes
176,I2060,Male,Devon,0,1,0,10.0,,2,6.0,Churn=No
177,C8346,Female,Greater London,1,1,0,15.0,,1,2.0,Churn=No
178,B8291,Male,Greater London,1,1,0,21.0,,3,8.0,Churn=No
179,B5216,Female,Kent,1,1,0,13.0,,4,5.0,Churn=No
180,B2743,Female,Tyne and Wear,0,1,0,7.0,,1,2.0,Churn=No
181,C5383,Female,West Yorkshire,0,0,1,2.0,,2,4.696087084436599,Churn=No
182,H5153,Male,Kent,0,1,0,4.0,,4,4.696087084436599,Churn=No
183,H7536,Male,West Midlands,0,1,1,23.0,,2,9.0,Churn=No
184,B6315,Female,Greater London,0,1,0,7.0,,1,2.0,Churn=Yes
185,J6628,Female,Greater London,0,1,0,8.0,,1,4.0,Churn=No
186,D2135,Female,Greater Manchester,1,1,0,12.0,,4,6.0,Churn=No
187,C8445,Female,Devon,1,0,1,5.0,,2,1.0,Churn=No
188,D8887,Male,West Midlands,0,1,0,14.0,,1,8.0,Churn=No
189,E5033,Male,Kent,1,1,0,18.0,,4,7.0,Churn=No
190,F6592,Female,Hertfordshire,0,1,0,19.0,,1,5.0,Churn=No
191,D5487,Female,Hampshire,1,1,0,21.0,,2,4.696087084436599,Churn=No
192,A1042,Male,Greater London,0,0,0,1.0,,2,3.0,Churn=Yes
193,K2983,Female,Greater London,1,0,1,9.0,,2,2.0,Churn=Yes
194,E8375,Male,Hampshire,0,1,0,21.0,,1,5.0,Churn=No
195,I9956,Female,Greater London,0,0,0,1.0,,2,3.0,Churn=Yes
196,I4615,Female,West Yorkshire,0,1,0,16.0,,1,8.0,Churn=No
197,G2546,Female,West Yorkshire,0,1,0,13.0,,1,5.0,Churn=No
198,A7436,Male,Merseyside,1,0,0,2.0,,4,2.0,Churn=Yes
199,K6880,Male,Greater Manchester,0,0,1,6.0,,2,4.0,Churn=No
200,E6788,Female,Greater London,0,1,0,5.0,,2,3.0,Churn=Yes
201,G8666,Male,Hampshire,1,1,0,0.0,,3,4.0,Churn=Yes
202,D8408,Male,West Midlands,1,1,0,11.0,,4,4.0,Churn=No
203,A7239,Female,South Yorkshire,1,1,0,16.0,,3,8.0,Churn=No
204,K1535,Male,Greater London,0,1,0,11.0,,1,1.0,Churn=Yes
205,J4122,Female,Greater London,1,1,0,19.0,,3,2.0,Churn=No
206,H7313,Female,Greater London,0,1,0,11.0,,2,5.0,Churn=No
207,A8106,Female,Greater London,0,1,0,16.0,,2,9.0,Churn=No
208,B2074,Female,Devon,1,1,0,19.0,,3,7.0,Churn=No
209,E9538,Male,Greater London,0,1,0,2.0,,1,5.0,Churn=Yes
210,A7334,Male,Hampshire,0,1,0,10.0,,1,2.0,Churn=Yes
211,E3256,Female,Surrey,1,1,0,14.0,,1,4.0,Churn=No
212,I5743,Female,West Yorkshire,1,1,0,7.0,,3,7.0,Churn=No
213,F3259,Female,West Yorkshire,0,1,0,11.0,,4,7.0,Churn=No
214,H5710,Female,Greater London,1,1,0,15.0,,3,4.696087084436599,Churn=No
215,I9399,Female,Hertfordshire,1,1,0,7.0,,4,5.0,Churn=No
216,C2845,Male,Greater London,1,1,0,10.0,,3,2.0,Churn=Yes
217,D1316,Male,Greater Manchester,1,1,0,13.0,,4,4.0,Churn=No
218,A2343,Male,Kent,0,1,1,15.0,,2,6.0,Churn=No
219,J1016,Male,South Yorkshire,1,1,0,11.0,,3,4.696087084436599,Churn=No
220,E7093,Female,Greater London,1,1,0,9.0,,4,5.0,Churn=No
221,K2344,Male,West Yorkshire,0,0,0,1.0,,2,2.0,Churn=Yes
222,K1822,Male,Greater Manchester,0,1,0,14.0,,2,3.0,Churn=No
223,C6470,Male,Kent,0,0,1,7.0,,2,4.696087084436599,Churn=No
224,C5511,Male,Hertfordshire,0,1,0,5.0,,2,5.0,Churn=No
225,I3249,Female,Kent,1,1,0,6.0,,3,6.0,Churn=No
226,D2481,Female,Greater London,1,0,1,1.0,,2,4.0,Churn=Yes
227,D9082,Male,Hampshire,1,0,0,2.0,,4,0.0,Churn=No
228,G3784,Male,Greater London,1,0,1,9.0,,2,2.0,Churn=Yes
229,C5886,Female,North Yorkshire,0,0,1,5.0,,2,4.0,Churn=No
230,E3547,Male,Greater London,0,0,1,0.0,,2,5.0,Churn=No
231,J3538,Male,Greater Manchester,1,1,0,4.0,,4,8.0,Churn=No
232,D7127,Female,Essex,1,1,0,16.0,,1,6.0,Churn=No
233,E3394,Male,West Midlands,0,1,0,6.0,,1,5.0,Churn=No
234,C4419,Male,West Yorkshire,1,1,1,17.0,,2,2.0,Churn=No
235,C8518,Female,Greater Manchester,1,1,0,3.0,,4,7.0,Churn=No
236,C6850,Male,Greater London,1,1,0,5.0,,4,8.0,Churn=No
237,G2619,Male,Merseyside,1,0,0,1.0,,4,3.0,Churn=Yes
238,F9243,Female,Greater London,1,1,0,8.0,,4,9.0,Churn=No
239,A3871,Male,Hertfordshire,1,1,0,17.0,,4,1.0,Churn=No
240,D3678,Female,Greater Manchester,0,0,1,0.0,,2,6.0,Churn=No
241,I3767,Female,Devon,0,0,0,2.0,,2,2.0,Churn=Yes
242,J5138,Male,West Midlands,0,1,0,20.0,,1,8.0,Churn=No
243,A8068,Female,Devon,1,1,0,14.0,,4,6.0,Churn=No
244,K6997,Male,Essex,1,1,0,7.0,,1,7.0,Churn=No
245,E2064,Male,Merseyside,1,0,0,2.0,,3,1.0,Churn=Yes
246,G5569,Male,Greater London,0,1,1,15.0,,2,7.0,Churn=No
247,J4970,Male,South Yorkshire,0,1,1,10.0,,2,7.0,Churn=No
248,G5382,Male,Essex,1,1,0,12.0,,4,6.0,Churn=No
249,I2762,Male,Greater Manchester,1,1,0,16.0,,3,6.0,Churn=No
250,I5501,Male,West Midlands,1,1,0,7.0,,3,5.0,Churn=No
251,D4598,Male,Greater Manchester,1,1,0,10.0,,4,3.0,Churn=No
252,D9754,Male,Merseyside,0,1,0,0.0,,2,6.0,Churn=No
253,E8778,Male,Greater London,1,1,0,14.0,,1,2.0,Churn=No
254,C7470,Female,North Yorkshire,1,1,0,9.0,,2,9.0,Churn=No
255,J4248,Female,West Midlands,0,1,0,7.0,,1,4.0,Churn=No
256,E3683,Female,North Yorkshire,1,1,1,10.0,,2,6.0,Churn=No
257,B5189,Female,Greater Manchester,1,1,0,1.0,,2,6.0,Churn=No
258,E2128,Female,Greater London,0,1,0,7.0,,1,2.0,Churn=No
259,D7349,Female,Merseyside,0,1,0,17.0,,2,6.0,Churn=No
260,E4555,Male,Essex,0,1,0,6.0,,1,4.696087084436599,Churn=No
261,J7608,Female,Kent,0,1,0,10.0,,3,6.0,Churn=No
262,C5757,Female,Greater London,1,1,0,7.0,,2,4.696087084436599,Churn=No
263,D4335,Female,South Yorkshire,1,1,0,10.0,,4,6.0,Churn=No
264,C3630,Female,Greater Manchester,0,1,0,7.0,,1,2.0,Churn=Yes
265,F3409,Male,Kent,0,1,0,14.0,,1,5.0,Churn=No
266,H1175,Male,Lancashire,1,1,0,11.0,,3,9.0,Churn=No
267,B6712,Female,West Midlands,1,1,0,12.0,,3,7.0,Churn=No
268,H4125,Male,West Yorkshire,0,1,0,15.0,,1,4.0,Churn=No
269,K3323,Female,Surrey,1,1,0,14.0,,4,4.696087084436599,Churn=No
270,B9894,Female,West Midlands,1,1,0,12.0,,2,6.0,Churn=No
271,H5088,Male,Essex,0,1,0,23.0,$26334,1,7.0,
272,K5109,Female,Greater London,1,1,0,9.0,,3,6.0,Churn=No
273,E6066,Male,Greater London,0,0,0,0.0,,1,1.0,Churn=Yes
274,F6004,Female,Greater London,0,1,0,14.0,,2,8.0,Churn=No
275,K2104,Female,Greater London,0,0,0,1.0,,1,4.0,Churn=Yes
276,K2889,Male,West Yorkshire,0,1,1,8.0,,2,6.0,Churn=No
277,D5979,Male,Greater London,1,1,0,4.0,,4,6.0,Churn=No
278,F1739,Female,Merseyside,0,1,0,11.0,,2,8.0,Churn=No
279,J5851,Female,Kent,1,1,0,17.0,,2,7.0,Churn=No
280,A7002,Female,Greater London,0,0,0,1.0,,1,2.0,Churn=Yes
281,J2311,Female,Kent,1,1,1,14.0,,4,7.0,Churn=No
282,C3876,Male,Greater London,0,1,0,14.0,,1,5.0,Churn=No
283,F2123,Female,Hampshire,1,1,0,10.0,,1,5.0,Churn=No
284,I1537,Male,Greater Manchester,0,0,0,1.0,,2,4.0,Churn=Yes
285,A7311,Male,Greater London,1,0,1,0.0,,2,1.0,Churn=Yes
286,H6268,Male,Greater Manchester,0,0,0,6.0,,1,1.0,Churn=Yes
287,E9534,Male,Greater London,1,1,0,5.0,,4,1.0,Churn=No
288,D1928,Female,West Midlands,1,1,0,15.0,,3,4.696087084436599,Churn=No
289,I4902,Male,West Midlands,1,1,0,17.0,,2,4.696087084436599,Churn=No
290,K7430,Female,Greater London,1,1,1,9.0,,2,8.0,Churn=No
291,C5359,Female,Hampshire,1,1,0,8.0,,4,7.0,Churn=No
292,K1805,Female,North Yorkshire,1,1,0,6.0,,3,7.0,Churn=No
293,F1974,Female,Merseyside,0,1,0,8.0,,4,3.0,Churn=No
294,D6513,Female,Kent,1,1,0,9.0,,4,5.0,Churn=No
295,F9283,Male,Greater London,1,1,0,8.0,,1,7.0,Churn=Yes
296,I5765,Female,South Yorkshire,1,1,0,0.0,,4,5.0,Churn=No
297,F8032,Male,Merseyside,1,1,0,8.0,,4,6.0,Churn=No
298,F5983,Female,Greater London,0,0,0,2.0,,1,1.0,Churn=Yes
299,E3474,Female,Merseyside,0,1,0,9.0,,1,8.0,Churn=No
300,K6353,Female,North Yorkshire,1,1,0,13.0,,4,6.0,Churn=No
301,E5810,Male,West Midlands,1,1,0,10.0,,2,7.0,Churn=No
302,A6003,Male,Kent,0,0,0,2.0,,1,2.0,Churn=Yes
303,E8144,Male,Kent,0,1,0,8.0,,2,5.0,Churn=No
304,E5755,Female,Kent,0,1,0,8.0,,1,4.696087084436599,Churn=No
305,K8803,Male,Hampshire,1,0,1,7.0,,2,1.0,Churn=Yes
306,D6767,Female,Kent,0,0,0,5.0,,1,0.0,Churn=Yes
307,J5489,Male,Greater Manchester,1,1,0,8.0,,2,6.0,Churn=No
308,D3878,Female,Greater London,0,1,0,10.0,,2,7.0,Churn=No
309,H6748,Male,Greater London,1,1,1,8.0,,3,9.0,Churn=No
310,F3007,Female,Greater London,1,1,0,3.0,,3,6.0,Churn=No
311,G9543,Male,North Yorkshire,1,0,0,2.0,,4,0.0,Churn=No
312,D5909,Male,Greater Manchester,1,1,0,10.0,,4,6.0,Churn=No
313,I9206,Male,North Yorkshire,0,1,0,16.0,,3,5.0,Churn=No
314,D9676,Male,Greater London,0,0,0,0.0,,3,3.0,Churn=Yes
315,D2625,Female,Greater London,0,0,0,0.0,,2,2.0,Churn=Yes
316,J6606,Female,West Midlands,0,1,0,14.0,,2,9.0,Churn=Yes
317,K2556,Female,Greater London,0,1,0,10.0,,1,8.0,Churn=Yes
318,A5425,Female,Devon,0,1,0,9.0,,2,2.0,Churn=No
319,B8301,Female,Hampshire,1,1,0,17.0,,3,4.696087084436599,Churn=No
320,I4114,Female,Greater London,0,1,0,8.0,,1,6.0,Churn=No
321,D1305,Male,South Yorkshire,0,0,1,8.0,,2,4.0,Churn=No
322,J9959,Male,Greater London,1,1,0,6.0,,4,4.696087084436599,Churn=No
323,E9525,Male,Surrey,0,1,0,17.0,,1,5.0,Churn=No
324,I9686,Female,Merseyside,1,1,0,13.0,,1,6.0,Churn=No
325,J1337,Male,Kent,1,1,1,7.0,,4,3.0,Churn=Yes
326,G8226,Male,Greater London,1,1,0,7.0,,4,6.0,Churn=No
327,F5115,Male,Greater London,1,1,0,7.0,,3,0.0,Churn=Yes
328,J3820,Male,Surrey,1,1,0,19.0,,4,5.0,Churn=No
329,I2562,Male,South Yorkshire,0,1,0,9.0,,1,7.0,Churn=No
330,G9946,Male,West Yorkshire,1,1,0,12.0,,2,6.0,Churn=No
331,F9200,Male,West Midlands,0,1,0,8.0,,1,6.0,Churn=No
332,K5736,Female,Greater Manchester,0,0,0,1.0,,4,2.0,Churn=Yes
333,E2526,Male,Kent,0,1,0,9.0,,1,7.0,Churn=No
334,I4402,Male,Greater London,0,0,0,1.0,,2,3.0,Churn=Yes
335,H9026,Female,Greater London,1,1,1,9.0,,2,4.696087084436599,Churn=No
336,E7298,Female,West Yorkshire,0,1,0,7.0,,1,2.0,Churn=Yes
337,B3763,Male,South Yorkshire,1,0,1,9.0,,2,1.0,Churn=No
338,J8187,Female,Merseyside,0,1,0,13.0,,1,8.0,Churn=No
339,B1491,Male,Greater London,1,1,0,11.0,,4,8.0,Churn=No
340,B2797,Male,West Midlands,0,1,0,0.0,,1,6.0,Churn=No
341,G4704,Male,Hampshire,1,1,0,14.0,,3,9.0,Churn=No
342,F4820,Female,West Midlands,0,1,0,8.0,,1,3.0,Churn=No
343,A6174,Female,Lancashire,0,1,1,19.0,,1,4.0,Churn=No
344,J9115,Female,Greater London,0,1,0,17.0,,1,8.0,Churn=No
345,G9747,Male,Greater Manchester,0,0,0,1.0,,1,4.0,Churn=Yes
346,G6130,Female,West Yorkshire,0,0,0,1.0,,3,4.696087084436599,Churn=Yes
347,A1627,Female,Surrey,0,1,0,7.0,,1,2.0,Churn=No
348,H1146,Female,Greater London,1,1,0,0.0,,3,6.0,Churn=No
349,I8606,Male,Greater London,0,1,1,9.0,,1,5.0,Churn=No
350,D3684,Female,West Midlands,0,0,0,1.0,,1,4.696087084436599,Churn=Yes
351,I8783,Male,Greater London,0,1,0,9.0,,1,2.0,Churn=Yes
352,G8313,Male,Essex,1,1,0,12.0,,4,4.696087084436599,Churn=No
353,F2069,Female,Hampshire,0,0,0,1.0,,3,5.0,Churn=No
354,H1450,Male,Essex,1,1,0,9.0,,2,6.0,Churn=No
355,J5767,Female,Essex,0,1,1,16.0,,1,6.0,Churn=No
356,F7021,Female,South Yorkshire,0,0,0,3.0,,4,3.0,Churn=Yes
